tau,bt,hh,RGIId,GLIMSId,CenLon,CenLat,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,TermType,Surging,Linkages,Name,delz,Zela,abl_area,accu_area,hf_method,hf
23.993487002558318,-1.7582897033158813,-157.51719580125183,RGI60-01.00292,G212269E63658N,-147.731,63.658,2,1.609,1552,2402,1856,25.0,264,2556,0,9,9,,850,1800,0.6436000000000001,0.9653999999999999,hf_millan,42.18750114324172
23.741953487806317,-3.9774214659685865,139.0983764754631,RGI60-01.00297,G212266E63544N,-147.733581543,63.543502808,2,6.709,1089,2467,1726,19.0,294,7665,0,9,9,,1378,1650,2.6836,4.025399999999999,hf_millan,94.4317554464286
28.965594518966473,-3.0273778359511345,22.835626252695253,RGI60-01.00298,G212165E63530N,-147.835,63.53,2,5.645,1123,2255,1645,20.0,289,5819,0,9,9,,1132,1550,2.258,3.3869999999999996,hf_millan,87.68979885186677
69.99426253120085,-3.105366492146597,-20.847880707451914,RGI60-01.00312,G214807E63249N,-145.193,63.249,2,90.948,1062,2973,1652,11.0,169,23553,0,3,9,Gakona Glacier,1911,1500,36.3792,54.568799999999996,hf_millan,217.35783750690317
95.17410995043578,-1.0776614310645725,49.61759183262852,RGI60-01.00313,G215701E63214N,-144.299,63.214,2,2.099,1598,2142,1790,13.0,77,3177,0,9,9,,544,1750,0.8396000000000001,1.2594,hf_millan,102.56546752948358
30.05049663181359,-2.2545811518324608,-21.684762765535744,RGI60-01.00314,G215063E63319N,-144.937,63.319,2,2.156,1632,2539,2030,17.0,188,3148,0,9,9,,907,1950,0.8624,1.2936,hf_millan,67.75128330929176
25.66324371886688,-2.37510907504363,-21.684762765535744,RGI60-01.00315,G215039E63324N,-144.961,63.324,2,2.014,1615,2424,2042,17.0,217,2912,0,9,9,,809,1950,0.8056,1.2084,hf_millan,60.95300305173717
18.600193256955553,-2.3963787085514836,-72.41207491556126,RGI60-01.00319,G215678E63140N,-144.322,63.14,2,1.062,1562,2175,1937,16.0,156,2307,0,9,9,,613,1900,0.42480000000000007,0.6372,hf_millan,44.57310709591116
44.10006155028219,-1.99934554973822,-38.85338941905444,RGI60-01.00321,G214683E63249N,-145.317,63.249,2,7.777,1468,2425,1812,12.0,177,4990,0,9,9,,957,1750,3.1108000000000002,4.6662,hf_millan,88.17126180373829
44.50902555760443,-1.106020942408377,-21.684762765535744,RGI60-01.00322,G214726E63248N,-145.274,63.248,2,1.402,1694,2145,1904,17.0,163,1603,0,9,9,,451,1850,0.5608,0.8412,hf_millan,49.22791439290019
27.949682582929235,-1.3116273996509598,-27.760360278298595,RGI60-01.00324,G215228E63218N,-144.772,63.218,2,1.093,1665,2367,1899,18.0,205,1794,0,9,9,,702,1850,0.43720000000000003,0.6557999999999999,hf_millan,36.65956948731719
31.408682097405418,-2.637434554973822,32.05915172849031,RGI60-01.00326,G214651E63260N,-145.349,63.26,2,4.246,1328,2167,1756,15.0,210,4289,0,9,9,College Glacier,839,1700,1.6984000000000004,2.5476,hf_millan,82.8383434898847
24.38021749561134,-2.637434554973822,24.91787011830534,RGI60-01.00335,G215640E63211N,-144.36,63.211,2,1.48,1628,2612,2080,21.0,270,2900,0,9,9,,984,2000,0.592,0.888,hf_millan,64.30122808070269
28.011089863105003,-2.68706369982548,22.835626252695253,RGI60-01.00336,G215655E63223N,-144.345092773,63.222930908,2,3.665,1421,2640,1846,20.0,301,4862,0,9,9,,1219,1800,1.4660000000000002,2.199,hf_millan,75.26758276369893
14.500720465894698,-4.81402705061082,-2355.321213031299,RGI60-01.00342,G214792E63501N,-145.207626343,63.501235962,2,9.918,1421,2871,2228,22.0,39,5768,0,9,9,,1450,2100,3.9672,5.950799999999999,hf_millan,69.806860576163
12.579303710629198,-4.076679755671902,76.95544884813263,RGI60-01.00368,G214911E63442N,-145.089233398,63.441719055,2,2.504,1475,2693,2188,28.0,351,3742,0,9,9,,1218,2050,1.0016,1.5024,hf_millan,51.281792777570494
28.391923025664855,-1.7157504363001745,139.0983764754631,RGI60-01.00374,G214939E63336N,-145.061,63.336,2,1.256,1708,2251,2023,19.0,201,1812,0,9,9,,543,1950,0.5024000000000001,0.7535999999999999,hf_millan,48.71345431868545
28.160859422277902,-1.6094022687609075,139.0983764754631,RGI60-01.00375,G214958E63333N,-145.042,63.333,2,1.172,1773,2436,2070,19.0,205,2133,0,9,9,,663,2000,0.4688,0.7031999999999999,hf_millan,45.322151044471035
43.142456915745846,-1.5455933682373473,21.04534800285778,RGI60-01.00377,G214922E63222N,-145.078,63.222,2,3.244,1532,2086,1821,14.0,234,2662,0,9,9,,554,1750,1.2976,1.9464000000000001,hf_millan,66.68069529844226
43.1770880086301,-1.0422120418848166,-72.41207491556126,RGI60-01.00378,G214892E63232N,-145.108,63.232,2,1.128,1453,2035,1666,16.0,231,2744,0,9,9,,582,1600,0.4512,0.6768,hf_millan,44.99968105611481
25.216313489958203,-2.1907722513089003,-27.760360278298595,RGI60-01.00390,G214487E63283N,-145.513,63.283,2,2.16,1341,2120,1768,18.0,178,3402,0,9,9,West Gulkana Glacier,779,1650,0.8640000000000001,1.296,hf_millan,55.24319987410673
23.72154624840145,-2.1340532286212914,-23.02139429280751,RGI60-01.00409,G215242E63388N,-144.758,63.388,2,3.417,1499,2574,1859,24.0,32,3282,0,9,9,,1075,1800,1.3668,2.0502,hf_millan,50.623042359290395
23.199541481372297,-2.1056937172774868,22.835626252695253,RGI60-01.00419,G215063E63252N,-144.936935425,63.251533508,2,1.408,1453,2185,1832,20.0,197,2172,0,9,9,,732,1750,0.5632,0.8447999999999999,hf_millan,48.851128741044086
34.05042104741728,-1.9851657940663177,-72.41207491556126,RGI60-01.00425,G215083E63241N,-144.917,63.241,2,4.162,1370,2199,1754,16.0,213,3279,0,9,9,,829,1650,1.6648,2.4972,hf_millan,67.59573113688859
25.426516593246966,-1.9851657940663177,139.0983764754631,RGI60-01.00426,G215419E63176N,-144.581,63.176,2,2.606,1270,2401,1654,19.0,235,4214,0,9,9,,1131,1550,1.0424,1.5635999999999999,hf_millan,50.47585100317352
31.72445077035429,-2.3042102966841185,32.05915172849031,RGI60-01.00434,G215789E63139N,-144.211,63.139,2,3.544,1375,2234,1817,15.0,101,4502,0,9,9,Tok Glacier,859,1700,1.4176000000000002,2.1264,hf_millan,73.09980612169878
24.87879529331429,-2.9210296684118675,-21.684762765535744,RGI60-01.00436,G215707E63229N,-144.293,63.229,2,3.467,1338,2398,1825,17.0,71,5194,0,9,9,,1060,1750,1.3868,2.0802,hf_millan,72.67169916611657
19.728529359308656,-1.8859075043630018,-157.51719580125183,RGI60-01.00449,G214298E63482N,-145.702,63.482,2,1.033,1534,2023,1840,25.0,63,1033,0,9,9,,489,1800,0.4132,0.6197999999999999,hf_millan,37.206181568766
46.24586429984964,-0.99967277486911,139.0983764754631,RGI60-01.00475,G215415E63466N,-144.585,63.466,2,1.354,1659,2239,1944,19.0,283,2189,0,9,9,,580,1800,0.5416000000000001,0.8124,hf_millan,46.23073149085101
24.713834475033313,-1.850458115183246,139.0983764754631,RGI60-01.00476,G215422E63477N,-144.578,63.477,2,1.065,1839,2475,2155,19.0,299,2108,0,9,9,,636,2100,0.426,0.6389999999999999,hf_millan,45.731915561620866
15.662622969752357,-3.431500872600349,-27.760360278298595,RGI60-01.00477,G215456E63495N,-144.544113159,63.494659424,2,1.802,1716,2614,2281,18.0,350,3180,0,9,9,,898,2200,0.7208000000000001,1.0812,hf_millan,53.74630438791549
