RGIId,Name,Area,hf,bt,tau,feq,Zmin,Zmax,Zela,Lmax,linear_feq,etcw_feq,gwi_feq
RGI60-01.17443,,1.307,38.92408436837497,-1.6235820244328099,23.974202585775057,0.7036939084718967,1771,2463,2000,2016,0.7078268484183714,0.3936983385551943,0.4133957144492681
RGI60-01.17444,,1.182,36.22772590111603,-1.694480802792321,21.37983849767826,0.7355872556538146,1861,2485,2100,1822,0.7392938207813562,0.43277876055886905,0.45912675732464187
RGI60-01.17449,,1.373,47.98894725275438,-2.9848385689354275,16.077568734268304,0.8010944161198189,1929,2656,2350,1984,0.8038912813498674,0.5380170766300632,0.5712933844637303
RGI60-01.17451,,1.713,61.48748522001975,-1.8859075043630018,32.603659022391035,0.6002390207951864,1884,2407,2150,2449,0.6055676982430362,0.30318308759307544,0.297521688464769
RGI60-01.17454,,1.098,57.48631004775589,-2.1340532286212914,26.937617711107897,0.6675752951286523,1849,2402,2150,1740,0.6721646943353661,0.356885744778835,0.3678618419813549
RGI60-01.17457,,1.065,46.85944598312786,-3.1620855148342057,14.819158357134055,0.8166612741318652,2004,2930,2450,2384,0.8192397406897572,0.5684726042139376,0.6015317976860884
RGI60-01.17458,,3.434,69.72954687592346,-4.119219022687609,16.9278561037592,0.79057772610529,1919,3154,2500,3984,0.7935219781934749,0.5186279424837882,0.5516078335086786
RGI60-01.17460,,1.244,54.78375850716217,-2.056064572425829,26.6449601057646,0.6711218502634521,2010,2743,2300,1732,0.6756683330524486,0.3602031162705597,0.37206383847530716
RGI60-01.17464,Giffin Glacier,78.043,116.51437609121004,-5.494655322862129,21.20503821348315,0.7377419257175589,1325,3379,2100,21602,0.7414187968021232,0.4356783201437938,0.4624187502857464
RGI60-01.17468,,1.235,60.01523925829336,-2.431828097731239,24.679063176498477,0.6950659089009101,1707,2439,2050,2429,0.6993103814519193,0.3842544564519363,0.40194608934044807
RGI60-01.17472,,4.828,48.410008473709475,-4.034140488656195,12.000079969905867,0.8515375333662539,1581,3000,2150,3709,0.8536255510789985,0.6435302568711581,0.6733658231921917
RGI60-01.17473,,1.448,60.239253154788834,-2.545266143106457,23.66717261294639,0.7074580006093614,2041,2972,2400,3294,0.7115410752071696,0.39795908034910826,0.41850947299345487
RGI60-01.17474,,2.213,39.21680111325926,-2.3821989528795813,16.46243739040114,0.7963339926918441,1964,3066,2300,3062,0.7991975580771578,0.5291201792122812,0.5623059908434683
RGI60-01.17475,,4.004,59.081304460193834,-2.8855802792321117,20.474670167872127,0.7467504011918376,1943,2784,2350,3783,0.7503041792882182,0.4481876035654393,0.47647096164266756
RGI60-01.17477,,6.27,79.40039476889034,-4.183027923211169,18.981559823759756,0.7651885095653199,1960,3558,2550,5359,0.7684870764449895,0.4758241238721131,0.5067058284163445
RGI60-01.17478,Natazhat Glacier,15.088,116.31885633417683,-2.864310645724258,40.609721053759834,0.5115864210896,1496,4038,1900,12916,0.5175770052229343,0.24958642893324642,0.22584596497157308
RGI60-01.17480,,9.757,128.64465903735402,-2.8784904013961605,44.69171027110502,0.47026174857593833,1594,3245,2000,7166,0.47641773951630934,0.22808292014733597,0.19816828876471768
RGI60-01.17481,Hawkins Glacier,80.413,253.05116143827001,-6.487238219895288,39.007533384885406,0.5285683206580917,485,5003,1400,35506,0.5344632984036427,0.25891096931682217,0.23814654159776383
RGI60-01.17497,,1.236,29.759058046686924,-1.8433682373472948,16.143848767575488,0.8002745796218994,1740,2588,2000,1343,0.8030830469903626,0.5364707894447102,0.5697367108169274
RGI60-01.17509,,2.005,73.11804189815257,-3.041557591623037,24.039670364793356,0.7028917306402415,1721,2861,2150,3583,0.7070349974271878,0.39280148937110093,0.4123152609039422
RGI60-01.17519,,2.128,56.09741852848831,-4.870746073298429,11.517212698895552,0.8575114551270007,1813,2945,2500,3001,0.8595154278126214,0.6571662466944823,0.6861196490614233
RGI60-01.17521,,3.739,127.6140923231103,-1.942626527050611,65.69152152825801,0.3034559350301288,1526,2537,1800,5531,0.3092420176967489,0.14910916674801888,0.10963320390704566
RGI60-01.17522,,1.562,68.50611731598381,-3.325152705061082,20.60239736109364,0.7451743913264609,1681,2601,2150,2807,0.7487494539676115,0.4459533365808903,0.47397867596736815
RGI60-01.17523,,2.572,46.022956625517224,-3.424410994764398,13.439670850222708,0.8337273579203809,1417,2620,1900,2931,0.8360658234850339,0.6041257079863914,0.6360539351941311
RGI60-01.17524,,1.651,36.473580857927196,-4.275196335078534,8.531439961869538,0.8944508037525245,1697,2639,2300,2258,0.895935300087025,0.7444852290794055,0.7666456040843843
RGI60-01.17532,,1.307,48.785080271737996,-1.3470767888307156,36.2155154600238,0.5591143822294304,1910,2465,2100,1960,0.5647991492970149,0.27665200641250753,0.2618524817226128
