case,RGIId,Name,Area,bt,hf,tau,feq,feq_linear,feq_gwi,feq_etcw,Zmin,Zmax,Zela,Lmax,aar,hyps_ela,hyps_aar
0.6,RGI60-01.16314,,2.772,-2.119873472949389,50.60835548292431,23.87329061319527,0.7049306898085322,0.7090472947731992,0.41469510533765197,0.39496070954391166,2001,3109,2300.0,3141,,,
0.6,RGI60-01.16315,,3.46,-2.1695026178010473,65.44249481836931,30.16474572623478,0.6288709977741123,0.6339066451459497,0.3246416441123821,0.3237816052073559,2194,2946,2500.0,3242,,,
0.6,RGI60-01.16316,,22.496,-3.3464223385689356,95.13634641228731,28.429270661924708,0.6495861147630175,0.6543889517608587,0.3467352427646985,0.340648706711943,1828,4845,2300.0,12858,,,
0.6,RGI60-01.16318,,1.577,-2.6303446771378707,47.467729057645485,18.04620111965556,0.7767492184260445,0.7798869555885415,0.5265675862203996,0.49459120490459424,1929,2727,2300.0,1826,,,
0.6,RGI60-01.16321,,1.17,-2.0631544502617802,37.85434823466081,18.347801459971997,0.7730209145806656,0.7762106436799087,0.5200290548179486,0.4884015573506755,2009,2606,2300.0,884,,,
0.6,RGI60-01.16323,,1.954,-1.481784467713787,42.883519301179696,28.940456750328707,0.6434585172121126,0.6483323998581414,0.3400288248483791,0.3354959217750586,2091,2670,2300.0,1643,,,
0.6,RGI60-01.16324,,1.993,-1.481784467713787,68.88385290707897,46.48709337152006,0.45300488259408933,0.4592011820541308,0.18589256912790367,0.21856134620639148,2141,2695,2350.0,2549,,,
0.6,RGI60-01.16326,,4.293,-2.800501745200698,86.88230871309071,31.023836661406644,0.6187162595706985,0.6238600180329059,0.3143869329863895,0.3160473205852465,1805,2784,2200.0,4121,,,
0.6,RGI60-01.16327,,3.171,-3.254253926701571,49.91464867321019,15.33827715890702,0.8102394079546551,0.8129080073854774,0.5888547247025531,0.5556525137403416,1891,3009,2350.0,3311,,,
0.6,RGI60-01.16328,,2.863,-2.899760034904014,72.05423625428021,24.848344479189052,0.6929967912402191,0.6972677901167799,0.39882829145264687,0.38189960588355065,1841,2964,2250.0,3313,,,
0.6,RGI60-01.16329,,7.838,-6.175283595113438,108.09929076587689,17.505154071210093,0.7834386962137322,0.7864829258632197,0.5385021773610991,0.5060013893906075,1629,3074,2500.0,6787,,,
0.6,RGI60-01.16330,,1.256,-3.325152705061082,28.55079110153767,8.586309752957105,0.8937719661399166,0.8952659741411317,0.7651494557010293,0.742851570973219,2131,3091,2600.0,2324,,,
0.6,RGI60-01.16334,,17.883,-8.153359511343805,141.37726715755284,17.339756325089557,0.7854839259716468,0.7884995526450592,0.5422027283575472,0.5095683843580929,1400,3506,2550.0,10345,,,
